"AccessionID","Location"
"EPI_ISL_1673336","Selangor"
"EPI_ISL_1673337","Johor"
"EPI_ISL_1673341","Selangor"
"EPI_ISL_1673342","Selangor"
"EPI_ISL_1673344","Selangor"
"EPI_ISL_1673345","Selangor"
"EPI_ISL_1673420","Selangor"
"EPI_ISL_1673683","Selangor"
"EPI_ISL_1673735","Selangor"
"EPI_ISL_1696746","Selangor"
"EPI_ISL_1696747","Selangor"
"EPI_ISL_1696748","Selangor"
"EPI_ISL_1696749","Selangor"
"EPI_ISL_1696750","Selangor"
"EPI_ISL_1696751","Selangor"
"EPI_ISL_1696752","Selangor"
"EPI_ISL_1696753","Selangor"
"EPI_ISL_1696754","Selangor"
"EPI_ISL_1696755","Selangor"
"EPI_ISL_1696756","Selangor"
"EPI_ISL_1696757","Selangor"
"EPI_ISL_1696758","Selangor"
"EPI_ISL_1714796","Selangor"
"EPI_ISL_1714797","Selangor"
"EPI_ISL_1714798","Selangor"
"EPI_ISL_1787254","Selangor"
"EPI_ISL_1787317","Selangor"
"EPI_ISL_1787318","Selangor"
"EPI_ISL_1787319","Selangor"
"EPI_ISL_1787320","Selangor"
"EPI_ISL_1787321","Selangor"
"EPI_ISL_1787322","Selangor"
"EPI_ISL_1787323","Selangor"
"EPI_ISL_1787324","Selangor"
"EPI_ISL_1787689","Selangor"
"EPI_ISL_1787983","Selangor"
"EPI_ISL_1788079","Selangor"
"EPI_ISL_1788080","Selangor"
"EPI_ISL_1788081","Selangor"
"EPI_ISL_1788082","Selangor"
"EPI_ISL_1789203","Selangor"
"EPI_ISL_1789204","Selangor"
"EPI_ISL_1805505","Selangor"
"EPI_ISL_1805508","Selangor"
"EPI_ISL_1805509","Selangor"
"EPI_ISL_1807186","Selangor"
"EPI_ISL_1807188","Selangor"
"EPI_ISL_1807206","Selangor"
"EPI_ISL_1821883","Perak"
"EPI_ISL_1821884","Perak"
"EPI_ISL_1919272","Perak"
"EPI_ISL_1919273","Perak"
"EPI_ISL_1919422","Perak"
"EPI_ISL_1919645","Perak"
"EPI_ISL_1919646","Perak"
"EPI_ISL_1919647","Perak"
"EPI_ISL_1919648","Perak"
"EPI_ISL_1919649","Perak"
"EPI_ISL_1919650","Selangor"
"EPI_ISL_1919651","Selangor"
"EPI_ISL_1919652","Selangor"
"EPI_ISL_1919653","Selangor"
"EPI_ISL_1919654","Selangor"
"EPI_ISL_1919858","Perak"
"EPI_ISL_1919859","Perak"
"EPI_ISL_1919860","Selangor"
"EPI_ISL_1919861","Sabah"
"EPI_ISL_1919862","Sabah"
"EPI_ISL_1919863","Sabah"
"EPI_ISL_1919944","Perak"
"EPI_ISL_1919945","Perak"
"EPI_ISL_1919946","Perak"
"EPI_ISL_1919947","Perak"
"EPI_ISL_1919949","Perak"
"EPI_ISL_1919950","Perak"
"EPI_ISL_1919951","Perak"
"EPI_ISL_1919952","Perak"
