"AccID","SubmittingLab"
"EPI_ISL_2001430","MKAK"
"EPI_ISL_2001481","MKAK"
"EPI_ISL_2001482","MKAK"
"EPI_ISL_2001643","MKAK"
"EPI_ISL_2001644","MKAK"
"EPI_ISL_2001655","MKAK"
"EPI_ISL_2001656","MKAK"
"EPI_ISL_2001659","MKAK"
"EPI_ISL_1972891","MKAK"
"EPI_ISL_2001645","MKAK"
"EPI_ISL_2001654","MKAK"
"EPI_ISL_2009116","MKAK"
"EPI_ISL_2009232","MKAK"
"EPI_ISL_2009233","MKAK"
"EPI_ISL_2009234","MKAK"
"EPI_ISL_2009305","MKAK"
"EPI_ISL_2009529","MKAK"
"EPI_ISL_2009530","MKAK"
"EPI_ISL_2009595","MKAK"
"EPI_ISL_2020075","IMR"
"EPI_ISL_2020076","IMR"
"EPI_ISL_2020077","IMR"
"EPI_ISL_2020078","IMR"
"EPI_ISL_2020165","IMR"
"EPI_ISL_2020166","IMR"
"EPI_ISL_2020167","IMR"
"EPI_ISL_2020238","IMR"
"EPI_ISL_2020239","IMR"
"EPI_ISL_2020240","IMR"
"EPI_ISL_1673338","IMR"
"EPI_ISL_1673340","IMR"
"EPI_ISL_2009193","MKAK"
"EPI_ISL_2090886","IMR"
"EPI_ISL_2090887","IMR"
"EPI_ISL_2090889","IMR"
"EPI_ISL_2090890","IMR"
"EPI_ISL_2090891","IMR"
"EPI_ISL_2091000","IMR"
"EPI_ISL_2091020","IMR"
"EPI_ISL_2091022","IMR"
"EPI_ISL_2091024","IMR"
"EPI_ISL_2151509","HPUPM"
"EPI_ISL_2151510","HPUPM"
"EPI_ISL_2151541","HPUPM"
"EPI_ISL_2151584","HPUPM"
"EPI_ISL_2233382","IMR"
"EPI_ISL_2233383","IMR"
"EPI_ISL_2233384","IMR"
"EPI_ISL_2342546","MGVI"
"EPI_ISL_2342547","MGVI"
"EPI_ISL_2342548","MGVI"
"EPI_ISL_2342549","MGVI"
"EPI_ISL_2342550","MGVI"
"EPI_ISL_2342551","MGVI"
"EPI_ISL_2342552","MGVI"
"EPI_ISL_2342553","MGVI"
"EPI_ISL_2342554","MGVI"
"EPI_ISL_2342555","MGVI"
"EPI_ISL_2342556","MGVI"
"EPI_ISL_2342557","MGVI"
"EPI_ISL_2342558","MGVI"
"EPI_ISL_2342559","MGVI"
"EPI_ISL_2342560","MGVI"
"EPI_ISL_2342561","MGVI"
"EPI_ISL_2342562","MGVI"
"EPI_ISL_2342563","MGVI"
"EPI_ISL_2342564","MGVI"
"EPI_ISL_2342565","MGVI"
"EPI_ISL_2342566","MGVI"
"EPI_ISL_2342567","MGVI"
"EPI_ISL_2342568","MGVI"
"EPI_ISL_2342569","MGVI"
"EPI_ISL_2342570","MGVI"
"EPI_ISL_2342571","MGVI"
"EPI_ISL_2342572","MGVI"
"EPI_ISL_2342573","MGVI"
"EPI_ISL_2342574","MGVI"
"EPI_ISL_2342575","MGVI"
"EPI_ISL_2342576","MGVI"
"EPI_ISL_2342577","MGVI"
"EPI_ISL_2342578","MGVI"
"EPI_ISL_2342579","MGVI"
"EPI_ISL_2342580","MGVI"
"EPI_ISL_2342581","MGVI"
"EPI_ISL_2342582","MGVI"
"EPI_ISL_2342583","MGVI"
"EPI_ISL_2342584","MGVI"
"EPI_ISL_2342585","MGVI"
"EPI_ISL_2342586","MGVI"
"EPI_ISL_2342587","MGVI"
"EPI_ISL_2342588","MGVI"
"EPI_ISL_2342589","MGVI"
"EPI_ISL_2342590","MGVI"
"EPI_ISL_2342591","MGVI"
"EPI_ISL_2342592","MGVI"
"EPI_ISL_2342593","MGVI"
"EPI_ISL_2342594","MGVI"
"EPI_ISL_2342595","MGVI"
"EPI_ISL_2342596","MGVI"
"EPI_ISL_2342597","MGVI"
"EPI_ISL_2342598","MGVI"
"EPI_ISL_2342599","MGVI"
"EPI_ISL_2342600","MGVI"
"EPI_ISL_2367469","UNIMAS"
"EPI_ISL_2367470","UNIMAS"
"EPI_ISL_2367471","UNIMAS"
"EPI_ISL_2367472","UNIMAS"
"EPI_ISL_2367473","UNIMAS"
"EPI_ISL_2367474","UNIMAS"
"EPI_ISL_2367475","UNIMAS"
"EPI_ISL_2367476","UNIMAS"
"EPI_ISL_2367477","UNIMAS"
"EPI_ISL_2367478","UNIMAS"
"EPI_ISL_2367479","UNIMAS"
"EPI_ISL_2367480","UNIMAS"
"EPI_ISL_2367481","UNIMAS"
"EPI_ISL_2367482","UNIMAS"
"EPI_ISL_2367483","UNIMAS"
"EPI_ISL_2367484","UNIMAS"
